Year,Month,Date,SE,E+W,N+NW,NE,sw
2009,1,1/1/2009,-12.48,-13.70,-10.50,-2.10,-1.70
2009,2,2/1/2009,-11.26,-12.40,-9.59,-1.90,-1.53
2009,3,3/1/2009,-12.54,-13.70,-10.55,-2.10,-1.68
2009,4,4/1/2009,-12.28,-13.50,-10.08,-2.06,-1.65
2009,5,5/1/2009,-13.15,-15.30,-10.86,-3.09,-2.20
2009,6,6/1/2009,-15.70,-23.40,-14.53,-4.51,-9.69
2009,7,7/1/2009,-27.04,-46.10,-47.97,-22.19,-32.10
2009,8,8/1/2009,-23.87,-31.60,-28.73,-10.10,-20.16
2009,9,9/1/2009,-13.32,-15.00,-10.16,-1.96,-2.19
2009,10,10/1/2009,-12.56,-14.10,-10.26,-1.97,-1.62
2009,11,11/1/2009,-12.13,-13.60,-9.96,-1.92,-1.56
2009,12,12/1/2009,-12.67,-14.00,-10.35,-2.00,-1.64
2010,1,1/1/2010,-12.56,-14.00,-10.37,-2.01,-1.65
2010,2,2/1/2010,-11.39,-12.70,-9.41,-1.83,-1.49
2010,3,3/1/2010,-12.60,-14.10,-10.47,-2.04,-1.66
2010,4,4/1/2010,-12.15,-13.70,-10.13,-2.00,-1.70
2010,5,5/1/2010,-14.46,-17.90,-11.11,-2.65,-8.56
2010,6,6/1/2010,-21.67,-35.80,-24.34,-8.51,-29.23
2010,7,7/1/2010,-33.70,-60.40,-47.62,-35.07,-54.03
2010,8,8/1/2010,-30.07,-43.00,-27.48,-13.31,-42.56
2010,9,9/1/2010,-22.86,-22.50,-11.07,-2.26,-10.09
2010,10,10/1/2010,-14.32,-14.50,-11.10,-2.15,-2.63
2010,11,11/1/2010,-12.74,-13.30,-10.73,-2.06,-1.88
2010,12,12/1/2010,-13.04,-13.70,-11.07,-2.13,-1.61
2011,1,1/1/2011,-12.98,-13.70,-11.09,-2.14,-1.66
2011,2,2/1/2011,-11.71,-12.40,-10.03,-1.94,-1.52
2011,3,3/1/2011,-12.94,-13.70,-11.05,-2.14,-1.71
2011,4,4/1/2011,-12.44,-13.40,-10.64,-2.08,-1.66
2011,5,5/1/2011,-13.13,-14.40,-11.17,-2.32,-1.97
2011,6,6/1/2011,-17.13,-25.90,-22.03,-9.29,-19.53
2011,7,7/1/2011,-30.25,-54.90,-63.91,-29.63,-49.94
2011,8,8/1/2011,-23.81,-36.60,-28.22,-13.80,-35.08
2011,9,9/1/2011,-13.47,-15.70,-10.59,-2.13,-2.96
2011,10,10/1/2011,-11.99,-14.30,-10.82,-2.15,-1.78
2011,11,11/1/2011,-11.60,-13.80,-10.42,-2.08,-1.77
2011,12,12/1/2011,-11.94,-14.20,-10.75,-2.15,-1.76
