,,,,,,,,,,,,,,,,,,,,,,,
Short Date (month : year),NO,Error,NE,Error,CE,Error,SE,Error,SW,Error,CW,,NW,,Overall_mass_change,,,,,,,,
 Apr  : 02,1.94E+02,7.61E+00,5.96E+01,1.04E+01,4.65E+02,1.97E+01,3.49E+02,1.96E+01,4.43E+02,2.00E+01,2.35E+02,1.30E+01,3.98E+02,9.57E+00,2.14E+03,4.41E+01,,,,,,,
 May  : 02,1.90E+02,,7.31E+01,,4.40E+02,,3.54E+02,,4.43E+02,,2.47E+02,,4.18E+02,,2.17E+03,,,,,,,,
 Aug  : 02,1.71E+02,,3.22E+01,,3.46E+02,,2.91E+02,,4.00E+02,,2.22E+02,,3.96E+02,,1.86E+03,,,,,,,,
 Sep  : 02,1.43E+02,,5.60E+01,,3.41E+02,,2.68E+02,,3.97E+02,,2.09E+02,,3.66E+02,,1.78E+03,,,,,,,,
 Oct  : 02,1.62E+02,,3.78E+01,,4.18E+02,,2.93E+02,,4.02E+02,,1.98E+02,,3.82E+02,,1.89E+03,,,,,,,,
 Nov  : 02,1.80E+02,,4.54E+01,,3.88E+02,,2.64E+02,,4.58E+02,,2.40E+02,,3.93E+02,,1.97E+03,,,,,,,,
 Dec  : 02,1.82E+02,,5.23E+01,,3.99E+02,,3.70E+02,,3.88E+02,,2.09E+02,,3.82E+02,,1.98E+03,,,,,,,,
 Jan  : 03,1.85E+02,,4.65E+01,,3.81E+02,,3.46E+02,,4.21E+02,,2.66E+02,,3.77E+02,,2.02E+03,,,,,,,,
 Feb  : 03,1.66E+02,,5.85E+01,,4.44E+02,,3.81E+02,,4.01E+02,,1.79E+02,,3.57E+02,,1.99E+03,,,,,,,,
 Mar  : 03,1.81E+02,,2.98E+01,,4.65E+02,,3.45E+02,,4.65E+02,,2.26E+02,,3.70E+02,,2.08E+03,,,,,,,,
 Apr  : 03,1.72E+02,,4.97E+01,,4.67E+02,,3.96E+02,,4.60E+02,,2.26E+02,,3.56E+02,,2.13E+03,,,,,,,,
