Date,CE,CW,NE,NO,NW,SE,SW,,,,,,,,,
4/15/1986,5.107159111,5.610441199,1.842811604,1.733296508,7.470248225,11.59445804,1.698725052,,Date,AVERAGE of CE,AVERAGE of CW,AVERAGE of NE,AVERAGE of NO,AVERAGE of NW,AVERAGE of SE,AVERAGE of SW
5/15/1986,5.323663433,6.557663288,1.915343004,1.730505041,7.803189796,12.05590249,1.75534922,,4/15/1986,5.107159111,5.610441199,1.842811604,1.733296508,7.470248225,11.59445804,1.698725052
6/15/1986,5.398234481,6.30403709,1.872720028,1.952879947,7.707309388,11.49234085,1.698725052,,5/15/1986,5.323663433,6.557663288,1.915343004,1.730505041,7.803189796,12.05590249,1.75534922
7/15/1986,5.574338793,6.475692004,1.775749948,2.115289142,8.135904738,11.91744229,1.75534922,,6/15/1986,5.398234481,6.30403709,1.872720028,1.952879947,7.707309388,11.49234085,1.698725052
8/15/1986,5.435783814,6.307369634,1.923878552,2.01347198,8.108341461,12.04662404,1.75534922,,7/15/1986,5.574338793,6.475692004,1.775749948,2.115289142,8.135904738,11.91744229,1.75534922
9/15/1986,5.409229874,6.091417883,1.947262799,1.965435349,7.898069154,11.75195793,1.698725052,,8/15/1986,5.435783814,6.307369634,1.923878552,2.01347198,8.108341461,12.04662404,1.75534922
10/15/1986,5.558956698,6.281976932,1.9621748,2.047863939,8.062773661,12.24141546,1.75534922,,9/15/1986,5.409229874,6.091417883,1.947262799,1.965435349,7.898069154,11.75195793,1.698725052
3/15/1987,5.597486675,6.219119585,1.710524445,2.132998132,7.566665854,12.71237255,1.75534922,,10/15/1986,5.558956698,6.281976932,1.9621748,2.047863939,8.062773661,12.24141546,1.75534922
4/15/1987,5.424577552,6.00601461,1.837431911,2.081105818,7.224015394,12.39586365,1.698725052,,3/15/1987,5.597486675,6.219119585,1.710524445,2.132998132,7.566665854,12.71237255,1.75534922
5/15/1987,5.481694358,5.631784381,1.961666028,1.810702707,7.498298563,12.48898679,1.75534922,,4/15/1987,5.424577552,6.00601461,1.837431911,2.081105818,7.224015394,12.39586365,1.698725052
6/15/1987,5.462018056,5.564174418,1.78913559,1.953971029,7.723901188,11.78494521,1.698725052,,5/15/1987,5.481694358,5.631784381,1.961666028,1.810702707,7.498298563,12.48898679,1.75534922
7/15/1987,5.475712069,6.397632189,1.927850667,1.848243816,7.969166063,11.40148738,1.75534922,,6/15/1987,5.462018056,5.564174418,1.78913559,1.953971029,7.723901188,11.78494521,1.698725052
8/15/1987,5.212998003,6.261577822,1.979565458,2.097087268,7.642325168,11.77325911,1.71383265,,7/15/1987,5.475712069,6.397632189,1.927850667,1.848243816,7.969166063,11.40148738,1.75534922
9/15/1987,5.341197874,6.019186945,1.951592175,1.890072087,7.398208514,11.34172468,1.670234501,,8/15/1987,5.212998003,6.261577822,1.979565458,2.097087268,7.642325168,11.77325911,1.71383265
10/15/1987,5.573472408,6.140150449,2.03065024,1.944497796,7.652807073,11.92963167,1.729660785,,9/15/1987,5.341197874,6.019186945,1.951592175,1.890072087,7.398208514,11.34172468,1.670234501
3/15/1988,5.771232257,5.720785017,2.044466473,1.895848439,7.672277952,11.50597715,1.743892121,,10/15/1987,5.573472408,6.140150449,2.03065024,1.944497796,7.652807073,11.92963167,1.729660785
4/15/1988,5.627100563,5.539680301,1.982337875,1.826138777,7.470586071,11.05763372,1.691379086,,3/15/1988,5.771232257,5.720785017,2.044466473,1.895848439,7.672277952,11.50597715,1.743892121
5/15/1988,5.702490098,6.083025721,1.963230197,1.781783818,7.538983844,11.21734727,1.751499939,,4/15/1988,5.627100563,5.539680301,1.982337875,1.826138777,7.470586071,11.05763372,1.691379086
6/15/1988,5.575595172,5.867972402,1.852434457,2.049883617,7.665753093,10.88009186,1.698741491,,5/15/1988,5.702490098,6.083025721,1.963230197,1.781783818,7.538983844,11.21734727,1.751499939
7/15/1988,5.543392804,6.028638347,1.79059008,2.030953929,8.077529481,10.92735643,1.759107757,,6/15/1988,5.575595172,5.867972402,1.852434457,2.049883617,7.665753093,10.88009186,1.698741491
8/15/1988,5.294954028,5.968176163,1.636711505,1.991140947,7.875910691,11.4621774,1.762974025,,7/15/1988,5.543392804,6.028638347,1.79059008,2.030953929,8.077529481,10.92735643,1.759107757
9/15/1988,5.01631831,5.722278115,1.586458095,1.922161084,7.596558752,10.5742622,1.709845444,,8/15/1988,5.294954028,5.968176163,1.636711505,1.991140947,7.875910691,11.4621774,1.762974025
10/15/1988,5.618627408,5.915244218,1.672926207,1.981483611,7.920101918,10.65042822,1.770581842,,9/15/1988,5.01631831,5.722278115,1.586458095,1.922161084,7.596558752,10.5742622,1.709845444
3/15/1989,5.791402395,5.942672641,1.847023138,1.962940974,8.296737457,10.4508495,1.794316814,,10/15/1988,5.618627408,5.915244218,1.672926207,1.981483611,7.920101918,10.65042822,1.770581842
4/15/1989,5.17177527,5.658747892,1.678356009,1.894857776,8.01823415,10.06827672,1.740187427,,3/15/1989,5.791402395,5.942672641,1.847023138,1.962940974,8.296737457,10.4508495,1.794316814
5/15/1989,5.28458375,6.034601628,1.895634565,1.886555423,8.457387097,11.41877207,1.801945475,,4/15/1989,5.17177527,5.658747892,1.678356009,1.894857776,8.01823415,10.06827672,1.740187427
6/15/1989,5.5365297,5.982824582,1.812114202,2.003508313,8.225256222,10.81391928,1.747570002,,5/15/1989,5.28458375,6.034601628,1.895634565,1.886555423,8.457387097,11.41877207,1.801945475
