Year,Month,Date,SE,CE,NE,NO,NW,CW,SW
2000,9,9/1/2000,3.024986286,1.319200041,0.396645376,0.278116612,0.862124694,2.062954876,5.441713484
2000,10,10/1/2000,0.418042749,0.097749291,0.000671598,0.003621121,0.079013363,0.084781361,0.214773581
2000,11,11/1/2000,0.332965326,0.064307819,7.74162E-05,0.000925593,0.020990395,0.0326613,0.094424186
2000,12,12/1/2000,0.331414744,0.061153108,7.95857E-05,0.000173485,0.005716341,0.017408284,0.05268893
2001,1,1/1/2001,0.374111652,0.061426241,6.03445E-05,4.77764E-05,0.00166881,0.009549976,0.041067308
2001,2,2/1/2001,0.3281109,0.051545861,0.000660207,8.31348E-06,0.000934653,0.005512143,0.030924258
2001,3,3/1/2001,0.36295658,0.04975485,0,1.6627E-06,0.000743106,0.003805549,0.027053727
2001,4,4/1/2001,0.395227967,0.144860139,0.053821085,0.00054125,0.001207421,0.013469517,0.203338805
2001,5,5/1/2001,1.588340403,0.474695301,0.384315386,0.055225428,0.078231381,0.077806296,0.482708551
2001,6,6/1/2001,7.106443539,2.955718429,4.81240302,1.892251608,1.940403809,3.514625414,7.144710354
2001,7,7/1/2001,13.23324977,9.596202793,16.75321955,12.16576777,11.72757456,14.29102523,25.44296938
2001,8,8/1/2001,12.65275623,9.323514212,8.168650761,6.546033676,9.808556258,10.7774089,27.28706092
2001,9,9/1/2001,2.725745781,1.046974859,0.394740051,0.249980224,0.343494142,0.718537549,2.749144914
2001,10,10/1/2001,0.902936288,0.236472896,0.069664525,0.016036743,0.060103167,0.042216563,0.207031311
2001,11,11/1/2001,0.614430508,0.154527313,0.007814415,0.001398406,0.011815124,0.03845228,0.324296154
2001,12,12/1/2001,0.855057523,0.176355321,0.001894235,8.33018E-05,0.021243503,0.01497516,0.215725234
2002,1,1/1/2002,0.486741475,0.114749076,0.000921565,0,0.004845118,0.0036556,0.076685213
2002,2,2/1/2002,0.409222902,0.091240107,0.000719239,0,0.003834926,0.001955181,0.058502739
2002,3,3/1/2002,0.431570897,0.096768979,0.000782192,0,0.003830111,0.001241651,0.06459475
2002,4,4/1/2002,0.425191496,0.102559013,0.004045606,0.002558839,0.019015839,0.003772152,0.066461021
2002,5,5/1/2002,1.266821185,0.747673266,0.831821257,0.496137872,0.534944009,1.529431407,1.38946246
2002,6,6/1/2002,5.886852592,9.118836683,10.18486499,5.916706307,7.221041288,12.58743733,17.11607442
2002,7,7/1/2002,14.70503896,19.25662712,32.97789141,20.08177645,13.860876,15.27131234,31.1300453
2002,8,8/1/2002,8.615186737,5.298801468,6.04491314,4.986284023,3.448891872,3.918030738,14.56970409
2002,9,9/1/2002,4.247941456,2.223517589,0.238071371,0.246212135,0.4884825,1.903727459,6.630670973
2002,10,10/1/2002,1.039521566,1.107533748,0.085243098,0.045844737,0.036369504,0.042360901,0.206403202
2002,11,11/1/2002,0.685617068,0.244213833,0.015552192,0.000725733,0.011730775,0.007796147,0.113102342
2002,12,12/1/2002,0.581718559,0.162080989,0.006017258,0,0.007147664,0.003733824,0.081878608
2003,1,1/1/2003,0.52800059,0.133597453,0.002460286,0,0.005115627,0.00321144,0.089160926
2003,2,2/1/2003,0.421292919,0.106008306,0.00133657,0,0.004090249,0.001887233,0.051200941
2003,3,3/1/2003,0.440857283,0.113842445,0.0011498,0,0.004352413,0.002043628,0.052577317
2003,4,4/1/2003,0.429375651,0.13761109,0.004601711,0,0.011614477,0.012639381,0.104170423
2003,5,5/1/2003,0.969678982,0.704673066,1.180342229,0.284067245,0.096654183,0.418452093,0.777981214
2003,6,6/1/2003,4.757975634,5.877157614,11.69494846,7.219044413,9.297229566,14.87288658,21.40292609
2003,7,7/1/2003,13.36306387,14.29253072,34.34290371,26.46420062,16.70509501,15.93986587,40.05972473
2003,8,8/1/2003,14.24229628,11.32066411,11.46300712,3.808948857,5.83841165,12.00304915,37.24150854
2003,9,9/1/2003,5.218025582,1.515418767,0.272430348,0.041924398,0.363243811,1.303512988,6.794411143
2003,10,10/1/2003,2.127132401,0.265572933,0.049468125,0.012589595,0.051069229,0.169135243,3.097096616
2003,11,11/1/2003,0.72833403,0.20555003,0.006970501,0.000411648,0.021902962,0.022880539,0.210919215
2003,12,12/1/2003,0.622641688,0.172973741,0.001693013,0,0.010792617,0.00752296,0.132949767
2004,1,1/1/2004,0.562164909,0.157138202,0.000734907,0,0.00667376,0.003167331,0.094816408
2004,2,2/1/2004,0.495064298,0.138831168,0.00076288,0,0.005172533,0.003025702,0.124683334
2004,3,3/1/2004,0.500688205,0.149555724,0.000691269,0,0.00529333,0.001869411,0.062634362
2004,4,4/1/2004,0.623921094,0.209337506,0.021008459,0.006504666,0.039299062,0.022599297,0.099213169
2004,5,5/1/2004,0.932052828,0.64754558,0.667322749,0.54471565,0.568643147,1.20921317,1.01831678
2004,6,6/1/2004,7.047742745,6.486839246,6.030262644,1.491776449,2.83918118,8.888303761,16.31909882
2004,7,7/1/2004,18.41566366,19.64950576,29.90435283,12.82615147,10.52312107,13.55376081,26.65663315
2004,8,8/1/2004,13.03442034,10.86868332,9.44611325,3.996085524,6.248373971,11.09018368,25.98714519
2004,9,9/1/2004,1.821100329,1.557455265,0.239600145,0.036802964,0.106425638,0.202933798,0.633198941
2004,10,10/1/2004,0.728609808,0.259570554,0.022524154,0.008047117,0.064007596,0.126398255,0.222476632
2004,11,11/1/2004,0.546845919,0.197968484,0.005632883,0.000143245,0.027077572,0.017064928,0.106424797
2004,12,12/1/2004,0.501746268,0.16488884,0.001618418,0,0.014954148,0.008243314,0.079679941
2005,1,1/1/2005,0.491418478,0.151661882,0.001257918,0,0.007856074,0.005297751,0.082182864
2005,2,2/1/2005,0.501115688,0.122777584,0.000991863,3.27962E-05,0.0201138,0.022769168,0.176115829
2005,3,3/1/2005,0.468784951,0.139122038,0.001185016,0,0.010881444,0.010161629,0.169841784
2005,4,4/1/2005,0.54272201,0.210242099,0.153218056,0,0.00580507,0.004787547,0.133182726
2005,5,5/1/2005,2.015319926,0.86712369,0.507899747,0.207463652,0.177229179,0.473594685,1.303217344
2005,6,6/1/2005,7.230732182,8.544925675,8.904712682,9.594395052,4.562134047,8.110972433,10.41366492
2005,7,7/1/2005,23.51354979,22.15614559,32.3603154,24.30516374,15.98517024,17.17799707,31.82100798
2005,8,8/1/2005,10.2969267,9.388986388,7.743564511,7.093437766,7.481624872,9.239056047,18.02589791
2005,9,9/1/2005,1.783701991,0.425975832,0.052858206,0.044196861,0.108489631,0.296898214,4.113788599
2005,10,10/1/2005,0.551443187,0.167990294,0.01005538,0.006922177,0.030068863,0.037618331,0.195253574
