Year,Month,SE,CE,NE,NO,NW,CW,SW
2000,9,24.12955619,19.01979288,5.502700168,3.288288715,13.90646355,15.10666011,21.58373097
2000,10,11.59042602,12.57810377,6.117051817,1.457073866,4.292315377,5.808360053,9.644832871
2000,11,16.37600191,5.287090302,3.820932934,2.263723851,11.11535076,13.55896328,13.55656297
2000,12,9.868770959,5.72700947,2.357453349,2.591303533,6.510714626,3.504117555,2.264220832
2001,1,25.37787243,20.35607327,3.722216692,0.9997486139,3.253533919,9.63355507,10.6020997
2001,2,17.16511667,15.71170087,2.832775068,0.6527398971,4.796176622,6.510215946,7.591955567
2001,3,8.805863922,1.759582819,2.697860557,1.985391472,7.110589358,4.1831298,1.747819491
2001,4,13.32915686,3.039142801,1.626874828,1.250112126,8.177967552,7.750650435,7.888642948
2001,5,8.475891355,10.08177231,5.320614167,4.21312987,10.49366321,13.24722963,17.14613577
2001,6,10.52560488,3.721882589,6.693960464,5.783766169,4.485452194,7.717943243,13.37607224
2001,7,7.561751019,2.478401504,14.05307924,17.44738712,17.05909714,2.561825165,6.799796903
2001,8,13.14838918,6.240411593,6.336440029,3.826717006,13.10240794,4.321851747,13.26057519
2001,9,18.2766903,11.99518372,5.663292486,1.691801402,9.784059923,14.20572721,20.95063121
2001,10,9.723033143,8.578730228,8.479085591,4.055837018,12.80425638,7.091726614,10.12625057
2001,11,18.27335697,16.59577294,11.86111549,2.652524986,6.50185821,15.2862566,29.56254874
2001,12,29.72757409,16.27571955,8.574454731,3.570181961,11.14695765,17.54510081,14.51404366
2002,1,29.10403245,15.47631907,3.502111864,1.679166391,2.192594816,3.949768602,7.522988341
2002,2,8.788302029,2.891952976,3.447603335,0.4751515048,0.9967118884,2.691737914,6.081631544
2002,3,12.23522028,3.796378877,2.354828497,1.257861375,3.140369696,5.61954831,8.141938781
2002,4,9.244951393,11.58811223,4.122940259,0.7914508728,2.24228583,3.819079769,4.925406995
2002,5,16.6026554,11.38145006,4.101134106,2.212349712,6.498851039,3.214712862,6.353062211
2002,6,19.16138698,5.26668016,2.591426472,3.396963672,6.815854149,6.993499107,11.5920879
2002,7,9.753752365,9.947682839,5.906911355,5.163132462,15.85988995,9.93314229,19.66826647
2002,8,9.551679739,16.61000458,12.82118752,4.092277924,4.350173366,6.254097033,12.29458561
2002,9,32.57074683,15.37611964,5.360877799,4.585148263,7.130852226,13.98539731,19.16208745
2002,10,23.79268647,28.1261185,5.79248649,4.551866362,9.282973446,5.203734026,3.502123242
2002,11,31.79058266,24.52578025,2.809452205,1.557954423,5.966712363,6.128363776,4.989376886
2002,12,36.10319671,25.61116312,8.438178164,2.054551021,5.223185784,6.975083471,11.06060843
2003,1,31.22945615,10.21298097,4.408402163,2.446275254,5.689630306,7.485727961,8.980252028
2003,2,23.42457856,21.77955915,6.413633537,1.215005517,1.521042717,3.871006687,4.937819586
2003,3,23.27783964,20.80981425,3.259893621,1.977685109,4.12973359,5.390904059,5.293793093
2003,4,35.28986024,21.34835868,4.918017274,2.15689957,7.508194185,7.856187846,7.79537549
2003,5,13.50998401,5.25057788,3.508661928,2.333700928,12.14638994,12.23642474,10.17820337
2003,6,8.889952502,5.559695084,3.651881019,3.306797433,4.697020881,2.67746454,6.746525691
2003,7,4.661024742,8.242434741,6.024844269,3.873942505,13.17684117,8.322896828,6.999798453
2003,8,11.5350276,7.395319092,9.554738573,7.521116182,27.95906513,19.4443134,20.15168651
2003,9,14.63650889,6.367037242,4.5095948,4.693642512,13.45404267,17.9260811,29.7380463
2003,10,27.44084616,8.564997111,5.70401391,3.332144299,8.728181118,12.30829598,26.10169172
2003,11,17.06157737,13.42532864,4.95155497,0.7713888837,2.631923146,5.504600216,10.04279945
2003,12,14.13525862,4.675611247,1.834946468,1.982599581,6.089440064,7.967242564,14.96744784
2004,1,9.916506881,7.390918456,3.093201581,1.27270174,3.820075031,5.199583531,3.227052332
2004,2,19.27587851,13.76845024,4.033293579,1.852807343,5.223424104,10.51975107,13.97363232
2004,3,25.43268723,26.75225665,6.017994933,1.071448919,3.698657327,11.64033802,13.24402504
2004,4,12.0828031,16.27854719,6.437127252,1.145827555,2.149734837,4.7920187,14.97094172
2004,5,18.50406075,5.37443612,1.709612987,1.636796737,5.358094266,3.134265182,6.734803181
2004,6,5.359607129,2.382110518,4.315902206,5.100846863,10.14888636,8.748577802,12.74891221
2004,7,16.0235635,19.50198949,8.190359827,3.783925123,12.42769848,11.63769086,20.67774767
2004,8,11.31016491,12.92180036,5.617139002,5.794748958,21.93438849,12.68011956,13.31817436
2004,9,13.75830845,18.11281849,7.419632995,4.165619979,7.953069221,6.464644204,6.628169317
2004,10,5.505279914,5.83940031,6.990170532,6.374826054,22.74358787,13.00691852,10.23528366
2004,11,11.39467249,6.886012433,1.785092463,1.761848264,8.76294455,11.50068118,15.21751836
2004,12,7.119884138,5.344761898,7.210082933,1.887941111,2.85803853,4.156792481,9.460705789
2005,1,23.62690445,9.27021008,9.109144901,1.849959207,7.195051489,12.91433011,15.98718511
2005,2,18.24780164,7.207095857,8.217507604,3.257475822,13.5428875,13.86593972,19.9232703
2005,3,18.77000801,11.24835904,3.459370419,3.726510993,12.73256839,13.71701641,12.83994658
2005,4,19.1905175,13.41940673,3.217004029,2.702317875,8.333415857,8.904893095,9.799511738
2005,5,3.301786118,2.727088344,7.493933368,3.794899141,9.974918446,9.311410678,17.27458575
2005,6,19.27734864,8.518334534,5.021988251,2.040258524,5.946197121,5.298766658,11.6477681
2005,7,12.54891246,15.16377982,10.57885712,10.17667422,15.61291348,9.966706337,15.72333278
2005,8,15.68563944,4.28985415,3.302552607,3.118804741,6.865765137,4.840046962,10.7160749
2005,9,4.4392484,2.285255613,6.758208937,5.381458717,6.864637773,7.304438857,15.96053381
2005,10,6.807412719,4.96950178,2.765550207,2.83882266,9.083757687,8.49894898,8.183222872
2005,11,21.85380386,8.484174075,7.81129543,4.357019811,13.06298004,12.3378968,16.10668193
2005,12,23.7137827,15.87219542,7.979708202,1.869216179,2.705143568,6.048724517,14.13655331
2006,1,13.14303944,19.53624717,20.09377202,2.721140361,3.161550436,4.390772119,4.758225409
2006,2,16.90740049,9.379161551,2.37215985,1.111501975,3.123709883,5.307824754,5.775712907
2006,3,8.0029012,5.457564247,2.661297143,1.000178304,1.375803553,3.613430707,3.487711065
2006,4,5.78895981,7.695202532,15.16099713,1.436554475,3.978646588,9.52442938,16.21970172
2006,5,9.880617232,6.054530252,6.229282089,4.186137239,6.69834644,6.747411314,6.736973742
2006,6,8.30799592,7.334342354,4.807007147,5.499896157,12.23094763,12.74239273,17.62738171
2006,7,6.104824061,5.927420873,6.892133349,8.257833396,15.30140876,7.193613534,6.838256872
