Year,Month,SE,CE,NE,NO,NW,CW,SW
2000,9,264.4635399,262.1264261,257.4053829,257.9453555,260.4761997,261.2497748,265.7153512
2000,10,256.5408048,251.750465,245.8397365,245.9551788,248.6920461,249.8636189,256.9716623
2000,11,255.4921876,249.9014404,244.7004459,247.2211592,249.6075873,248.1555638,256.2581258
2000,12,252.1582683,247.0369277,240.544765,241.7267945,245.0509176,246.0129053,252.1169267
2001,1,252.7353653,248.4144327,239.1269784,238.1476906,241.621358,246.0363062,251.0539389
2001,2,251.1296938,246.930467,238.0609414,238.2963209,241.4186377,244.9491232,249.9998498
2001,3,251.1206169,244.3200361,238.6761752,239.7579713,242.1709188,242.6454948,250.9048415
2001,4,256.4366202,252.1406231,246.5742508,247.7975887,251.3465323,252.0121502,257.4920943
2001,5,264.2371997,260.4722069,256.5492741,257.9645794,257.9078552,259.391461,264.4648466
2001,6,268.426365,265.5005389,264.9195265,266.1059168,265.0727397,264.9714039,269.1454445
2001,7,268.8525689,267.0420533,267.2831341,269.5735476,268.1093897,266.2417657,269.6528948
2001,8,268.9477677,265.8785308,264.2179233,267.5881382,266.3786394,264.8432243,270.3186856
2001,9,264.4526402,261.2304973,256.0660912,256.9272209,260.0080688,260.3367653,265.2907093
2001,10,259.4336065,254.705204,249.2763385,249.6541204,252.0069884,254.1810761,260.0025289
2001,11,251.817424,247.6463231,241.7879631,241.525752,243.8151004,245.0041616,253.2099325
2001,12,257.0694692,253.1940793,245.4143524,243.7169005,246.8052679,251.4679624,255.6319041
2002,1,250.7966621,245.6664424,239.1073589,240.8603094,243.5708056,244.5366318,251.5637006
2002,2,244.3257311,238.6898173,231.5200913,231.9275137,233.0748774,234.3342936,243.3859744
2002,3,251.2162932,245.555158,237.1856928,237.1057341,239.4223647,242.7540671,249.1813821
2002,4,255.3185527,252.8575809,245.1327586,242.795413,245.4535005,248.2372454,253.9512081
2002,5,265.0729256,262.6759198,259.1409506,260.2235526,261.0564409,261.306182,265.1516043
2002,6,269.2117677,268.2601919,268.2078521,268.1462884,267.5622149,267.3982721,269.7625517
2002,7,270.3975227,269.8790441,270.5415663,270.9063434,269.1219944,268.0554486,270.5606647
2002,8,266.1993617,263.959962,261.7241789,264.6260005,262.088844,261.1819852,267.2663402
2002,9,265.0713332,262.6060337,258.6801151,260.1925915,261.0686789,261.1403122,265.2233918
2002,10,257.3963217,255.0231511,252.6269644,254.8030618,254.255251,251.7752562,256.7921896
2002,11,258.2237031,255.8430595,247.590958,245.9443334,251.1001967,253.2146538,256.318048
2002,12,256.9473633,252.890006,244.6330273,246.0000388,248.1999671,249.9507113,255.0309259
2003,1,253.0761453,246.5843994,239.8358622,241.8386628,244.9793966,246.4977742,254.1040104
2003,2,252.9539336,249.6551236,241.7203251,240.8811051,243.3394145,245.9400709,248.5150452
2003,3,253.603812,251.5099289,242.8233117,241.0258966,246.2062075,247.9534145,252.1247407
2003,4,257.9278486,253.7887185,249.0512097,247.8284382,251.2153093,252.5549674,257.0278327
2003,5,263.30199,260.6991744,257.7585406,259.1472711,259.045751,259.0100214,263.3887798
2003,6,268.7720773,267.7695481,267.8903494,269.4156748,268.0302887,266.4213387,269.4971875
2003,7,269.5637447,267.7699656,267.2668594,270.0721901,267.1882152,265.5948606,269.8818835
2003,8,270.3390201,268.9263133,266.3501102,266.4608986,265.8803589,266.4416183,271.0043576
2003,9,265.7030096,260.298809,256.0713932,256.7998759,259.1586887,260.1474993,267.034551
2003,10,260.5856267,254.4806682,250.1551105,251.0258565,254.256789,254.3630866,262.2146771
2003,11,253.7872299,249.3563139,242.7204117,243.4106509,245.4895864,246.4474446,252.9392582
2003,12,251.0578481,243.3323486,237.9117677,241.1165022,243.1376498,243.6101752,253.2746148
2004,1,251.7318429,246.3692971,236.9720641,236.0901129,239.6812697,243.8781712,251.7762156
2004,2,252.8083545,246.5744285,239.2087456,240.4682556,242.2557289,244.3517309,252.6775181
2004,3,255.076896,253.4445514,245.0123126,239.5805268,243.1222311,247.4928859,250.5485027
2004,4,259.2432039,255.7909007,249.5371135,249.0599625,249.8805256,251.5774174,259.4224768
2004,5,262.7500449,260.2626983,257.5043411,259.8881534,260.6108417,259.6955174,263.6037245
2004,6,270.244873,267.6944757,265.7937479,266.5546627,266.2063884,266.302929,270.8286511
2004,7,269.996108,269.0399568,268.7468086,269.2658209,267.6737241,267.4960488,270.2277658
2004,8,269.3893163,267.0267561,264.7306667,265.9271796,265.8586268,265.8168802,270.0076881
2004,9,263.0565815,261.1833155,257.6741074,258.5166149,258.5300457,257.4986373,261.3832497
2004,10,258.4434802,253.6376702,251.3352015,254.4023526,255.1972828,252.8839546,260.0206517
2004,11,253.1278866,247.6280908,241.4482747,243.5834121,246.8813593,247.204362,254.5771389
2004,12,246.612442,241.8284461,236.5269111,237.8980956,236.9811951,237.1047863,245.7189848
2005,1,250.1857935,245.8174337,240.6324995,240.8471396,241.734128,242.9203633,248.4875231
2005,2,254.6044429,251.3501226,246.507192,245.927905,246.6792589,247.446602,255.1016476
2005,3,258.2500413,254.3335541,246.8395298,246.0535806,250.0315364,252.8045209,257.9195544
2005,4,259.7668766,255.2553355,249.0655934,247.4295942,249.9457307,253.5237086,259.8604709
2005,5,264.5804771,260.9181306,258.1742274,259.4116827,259.1198248,259.2523424,265.3795681
