Year,Month,Date,SE,E + W,N+NW,NE,sw
2009,1,1/1/2009,253.3163,247.3,241.3407133,239.6810231,252.4179159
2009,2,2/1/2009,250.9745,244.3,241.6892743,238.7823872,250.8445241
2009,3,3/1/2009,249.8806,242.8,240.8555951,237.2726075,248.1550624
2009,4,4/1/2009,258.0451,252.1,246.1055121,244.590804,257.5497467
2009,5,5/1/2009,262.1869,259.9,259.7593101,259.6167853,261.1443112
2009,6,6/1/2009,267.9034,265.3,264.6837156,264.3458528,268.4153708
2009,7,7/1/2009,270.7564,268.5,269.6099479,268.5581758,271.1660008
2009,8,8/1/2009,267.4439,264.3,264.9209454,262.6932812,268.4080047
2009,9,9/1/2009,261.6,256.8,254.4782681,253.8293405,262.2624369
2009,10,10/1/2009,255.83,249.8,247.8986488,246.2363079,257.0829167
2009,11,11/1/2009,253.6309,247.2,242.6610833,240.7954993,251.5826016
2009,12,12/1/2009,254.3313,248.9,247.5415024,243.9088613,254.7779213
2010,1,1/1/2010,257.7812,253.6,245.2802523,246.6585235,257.2999803
2010,2,2/1/2010,254.5607,248,246.7444056,242.0510558,256.2208918
2010,3,3/1/2010,254.2056,249.4,243.2815114,239.8542063,254.8669355
2010,4,4/1/2010,257.2389,251.5,249.7498806,247.4250717,258.6117055
2010,5,5/1/2010,266.8049,263.9,261.8885545,261.0715492,267.7906587
2010,6,6/1/2010,269.3542,267.9,268.5451293,267.4807294,270.0150294
2010,7,7/1/2010,271.9604,269,268.6288472,268.1886198,272.1930582
2010,8,8/1/2010,271.5479,268.1,266.5746911,265.1574698,272.1031903
2010,9,9/1/2010,266.6624,264.2,259.2127943,258.6510272,266.6010965
2010,10,10/1/2010,259.6308,253.2,249.7579965,246.5412332,259.9078554
2010,11,11/1/2010,253.8875,248.7,250.9132895,245.8858991,256.7992314
2010,12,12/1/2010,256.4913,250.1,248.5355189,246.0107946,258.0504704
2011,1,1/1/2011,250.1576,245.1,243.3847641,240.2392771,249.5715099
2011,2,2/1/2011,252.4465,248.1,242.6707059,242.4315656,249.7956723
2011,3,3/1/2011,247.377,241.3,238.3588775,238.5656038,247.4142396
2011,4,4/1/2011,254.9103,250.7,243.5662598,246.2753135,250.4677419
2011,5,5/1/2011,260.5315,257.7,259.2269656,257.5587573,260.2100778
2011,6,6/1/2011,268.3281,265.5,267.0396892,265.3005506,269.7237511
2011,7,7/1/2011,271.1827,269.8,270.9368606,268.9748061,271.9640289
2011,8,8/1/2011,268.2115,264.9,265.6653363,264.0252969,269.8405068
2011,9,9/1/2011,263.6025,259.7,257.7167351,255.5312776,262.5129517
2011,10,10/1/2011,255.6732,250.7,247.1850927,246.3006191,254.2849101
2011,11,11/1/2011,253.4791,248.6,244.2794112,245.7044842,250.4922776
2011,12,12/1/2011,245.3841,238.3,238.8370346,237.2816083,247.2632473
2012,1,1/1/2012,251.5896,246.9,241.886028,242.410176,249.2941836
2012,2,2/1/2012,253.5619,246.9,240.6645491,239.1444285,251.8024391
2012,3,3/1/2012,254.4615,249.4,242.9819437,243.0503439,251.74571
2012,4,4/1/2012,260.5446,255.5,248.8250678,247.1122048,261.7113698
2012,5,5/1/2012,264.0952,260.9,259.1624359,257.416932,265.4495046
2012,6,6/1/2012,271.691,269,268.7323407,268.2709392,272.2083564
2012,7,7/1/2012,272.5995,270.2,270.7071123,269.6623069,273.2191896
2012,8,8/1/2012,269.3735,265.9,266.0851893,265.1957538,270.0472658
2012,9,9/1/2012,262.966,257.2,257.8828475,254.6980613,264.7600309
2012,10,10/1/2012,260.2005,253.5,251.27598,248.7566414,261.216274
2012,11,11/1/2012,253.8007,247.1,244.833398,241.1887024,254.3186787
2012,12,12/1/2012,253.5115,246.8,244.1068648,240.9426791,252.1872146
2013,1,1/1/2013,254.078,247,242.7771113,240.4130284,252.6810311
2013,2,2/1/2013,255.0513,249.6,241.8899325,240.6369842,251.1653798
2013,3,3/1/2013,252.8647,247,246.0457151,242.261001,254.8551911
2013,4,4/1/2013,254.2905,249.7,248.2245099,245.9519796,254.8150052
2013,5,5/1/2013,261.4164,258.5,255.7504365,256.620563,259.9275566
2013,6,6/1/2013,268.5352,266.1,266.5864578,266.2240527,269.0636342
2013,7,7/1/2013,269.9187,267.8,268.1361155,267.5806821,270.3088104
2013,8,8/1/2013,267.5795,264.1,263.8206122,263.1859895,267.6258012
2013,9,9/1/2013,261.9786,258.2,258.1372655,258.3412302,263.6696767
2013,10,10/1/2013,256.8463,250.7,249.7044228,246.6981396,258.2704389
2013,11,11/1/2013,253.1388,245.3,239.7770485,237.2761958,254.3402162
2013,12,12/1/2013,247.9667,242.5,240.959741,239.3419321,247.2948777
2014,1,1/1/2014,253.538,249.4,246.2667326,242.727899,251.3733211
2014,2,2/1/2014,252.3994,245.3,241.1359667,237.2757148,250.899289
2014,3,3/1/2014,251.1237,245.1,240.0860959,240.2364611,249.4548292
2014,4,4/1/2014,258.448,253.4,246.9071341,247.5706754,255.8073109
2014,5,5/1/2014,263.5332,258.9,256.8065757,255.9274818,263.2317279
2014,6,6/1/2014,268.7688,266.8,267.3679946,267.1202657,269.490009
2014,7,7/1/2014,270.5629,267.8,269.5728712,268.810425,271.257203
2014,8,8/1/2014,269.8177,265.2,265.2581106,264.1376774,270.1087897
2014,9,9/1/2014,263.7073,260.2,256.3411579,255.2153262,264.2047482
2014,10,10/1/2014,255.1106,250.6,249.9851122,248.5584484,255.8424442
2014,11,11/1/2014,255.1985,251.2,248.0537499,246.4688713,253.2675357
2014,12,12/1/2014,249.8828,244.7,239.6345939,238.652918,248.8371073
2015,1,1/1/2015,248.8883,245.1,242.2491199,241.7183087,244.9767664
2015,2,2/1/2015,246.2719,239,234.0727632,234.0493598,244.8510321
2015,3,3/1/2015,251.8158,245.8,242.5149393,241.0369111,249.0514176
2015,4,4/1/2015,255.6385,250.3,244.8907695,245.1659702,255.3407848
2015,5,5/1/2015,261.1902,258.6,257.4341784,256.1559981,260.8014378
2015,6,6/1/2015,267.7888,265.8,266.8041209,266.1548012,268.2561478
