,sw_grace_gt_month,sw_grace_diff_gt_month,sw_avg_ice_disch_gt_month,sw_runoff_gt_month,sw_sum_ppt_gt_each_month,sw_monthly_avg_temp_2m_K,sw_total_ice_loss_gt_month,sw_ice_discharge_percent,sw_grace_diffs_gt_month
2009-01-31,215.0,78.0,1.6117628815,0.084670573,3.98366227,252.4179159,,,
2009-02-28,191.0,-24.0,1.4594225319166665,0.066331881,3.217816942,250.8445241,-1.524955061,95.65024027944126,25.692861881
2009-03-31,190.0,-1.0,1.6212689935,0.063233942,4.451839355,248.1550624,,,
2009-04-30,203.0,13.0,1.5739272135714286,0.071567231,10.48268922,257.5497467,,,
2009-05-31,247.0,44.0,1.6349367605,0.569027917,5.844914247,261.1443112,-2.200110166,74.13638981385444,-40.355195918999996
2009-06-30,245.0,-2.0,1.5746880667777778,8.11034172,11.22856899,268.4153708,,,
2009-07-31,165.0,-80.0,1.6092355642222222,30.48712689,3.896144596,271.1660008,,,
2009-08-31,142.0,-23.0,1.5526023328125,18.61035515,5.0503535,268.4080047,,,
2009-09-30,123.0,-19.0,1.4459133454285715,0.740994048,16.27757398,262.2624369,,,
2009-10-31,144.0,21.0,1.5123995098333334,0.112130063,9.044640714,257.0829167,,,
2009-11-30,103.0,-41.0,1.4878242627692306,0.075104899,5.600735285,251.5826016,,,
2009-12-31,125.0,22.0,1.559027636,0.076102291,5.420024671,254.7779213,,,
2010-01-31,128.0,3.0,1.572899203,0.078876824,9.152994339,257.2999803,,,
2010-02-28,164.0,36.0,1.437954251,0.050340843,3.877281144,256.2208918,,,
2010-03-31,173.0,9.0,1.6071324445,0.0571933,6.300184229,254.8669355,,,
2010-04-30,182.0,9.0,1.5462748303333333,0.152911535,5.934143539,258.6117055,,,
2010-05-31,167.0,-15.0,1.5950571998,6.962337672,10.77303538,267.7906587,-8.561570003,18.67919470890998,17.211465377
2010-06-30,129.0,-38.0,1.4780531851999998,27.75597165,9.060023725,270.0150294,,,
2010-07-31,71.7,-57.3,1.488136183625,52.54021664,6.83556699,272.1930582,-54.044786697999996,2.7839319015309925,10.090780292000005
2010-08-31,11.1,-60.6,1.4072668175555556,41.14812112,17.85400532,272.1031903,,,
2010-09-30,-54.5,-65.6,1.276972282,8.808198391,8.943322136,266.6010965,-10.116760966,12.934600109637504,64.42656117
2010-10-31,-39.6,14.899999999999999,1.4346984015,1.197041938,5.927903366,259.9078554,,,
2010-11-30,-32.4,7.200000000000003,1.4306714598461538,0.451957152,11.1723022,256.7992314,-1.8604685060000001,75.70734734060582,2.1118336939999978
2010-12-31,-41.2,-8.800000000000004,1.5186200838888888,0.087458833,18.26357754,258.0504704,,,
2011-01-31,,,1.589323746,0.067486567,6.168034855,249.5715099,,,
2011-02-28,20.3,61.5,1.4711943843333333,0.051067309,6.25252225,249.7956723,,,
2011-03-31,43.7,23.400000000000002,1.6503535656875,0.061055514,6.375526442,247.4142396,,,
2011-04-30,20.9,-22.800000000000004,1.6072785284615385,0.05060625,5.269508377,250.4677419,-1.642179514,96.91834847721769,26.427328863000003
2011-05-31,-15.0,-35.9,1.6744034144285713,0.296834171,5.49975287,260.2100778,-1.967783258,84.91530153063229,39.431969611999996
2011-06-30,,,1.6103399535,17.92191642,5.477724737,269.7237511,,,
2011-07-31,-69.5,-54.5,1.6784224703333332,48.26367846,13.12742676,271.9640289,-49.933253578,3.343613721048602,17.694173182
2011-08-31,-130.0,-60.5,1.6901554464545454,33.38745179,10.97724731,269.8405068,,,
